Quantity,ContextObject,Answer,DistractorAnswer,sentence
temperature,melting glacier,['kelvin'],joules,"Fact: The standard scientific unit used to measure the temperature of a melting glacier is named """
energy,falling water,"['joules', 'joule']",ohms,"Fact: A physicist would state that the unit representing the energy of a falling water is """
temperature,antarctic ice,['kelvin'],joules,"Fact: The textbook notes that the fundamental unit of measurement for a antarctic ice's temperature is named """
mass,paperclip,"['kilograms', 'kilogram', 'kg']",seconds,"Fact: In experiments measuring the mass of a given paperclip, the standard unit of choice is """
time,sound wave cycle,"['seconds', 'second']",meters,"Fact: The standard metric system unit for checking the time of a sound wave cycle is called the """
mass,paperclip,"['kilograms', 'kilogram', 'kg']",seconds,"Fact: The textbook notes that the fundamental unit of measurement for a paperclip's mass is named """
temperature,liquid nitrogen,['kelvin'],joules,"Fact: When recording the typical temperature associated with a liquid nitrogen, researchers write it in the unit named """
energy,exploding firework,"['joules', 'joule']",ohms,"Fact: In experiments measuring the energy of a given exploding firework, the standard unit of choice is """
temperature,liquid helium,['kelvin'],joules,"Fact: The standard scientific unit used to measure the temperature of a liquid helium is named """
force,earthquake tremor,"['newtons', 'newton']",volts,"Fact: The standard metric system unit for checking the force of a earthquake tremor is called the """
force,earthquake tremor,"['newtons', 'newton']",volts,"Fact: In physics, when calculating the exact force exhibited by a earthquake tremor, the result is expressed in the unit named """
mass,paperclip,"['kilograms', 'kilogram', 'kg']",seconds,"Fact: The standard metric system unit for checking the mass of a paperclip is called the """
energy,steam turbine,"['joules', 'joule']",ohms,"Fact: The standard scientific unit used to measure the energy of a steam turbine is named """
energy,steam turbine,"['joules', 'joule']",ohms,"Fact: When recording the typical energy associated with a steam turbine, researchers write it in the unit named """
force,water jet,"['newtons', 'newton']",volts,"Fact: The standard scientific unit used to measure the force of a water jet is named """
force,magnets pull,"['newtons', 'newton']",volts,"Fact: In physics, when calculating the exact force exhibited by a magnets pull, the result is expressed in the unit named """
temperature,liquid helium,['kelvin'],joules,"Fact: A physicist would state that the unit representing the temperature of a liquid helium is """
energy,compressed spring,"['joules', 'joule']",ohms,"Fact: If a student needs to write down the energy of a compressed spring, they should use the unit named """
force,magnets pull,"['newtons', 'newton']",volts,"Fact: The official SI unit for the force of a moving magnets pull is named """
time,pendulum swing,"['seconds', 'second']",meters,"Fact: In physics, when calculating the exact time exhibited by a pendulum swing, the result is expressed in the unit named """
temperature,boiling water,['kelvin'],joules,"Fact: In experiments measuring the temperature of a given boiling water, the standard unit of choice is """
force,magnets pull,"['newtons', 'newton']",volts,"Fact: The textbook notes that the fundamental unit of measurement for a magnets pull's force is named """
temperature,human body,['kelvin'],joules,"Fact: If a student needs to write down the temperature of a human body, they should use the unit named """
energy,photon emission,"['joules', 'joule']",ohms,"Fact: In experiments measuring the energy of a given photon emission, the standard unit of choice is """
mass,grain of sand,"['kilograms', 'kilogram', 'kg']",seconds,"Fact: The standard scientific unit used to measure the mass of a grain of sand is named """
time,blink of an eye,"['seconds', 'second']",meters,"Fact: The standard scientific unit used to measure the time of a blink of an eye is named """
force,elastic band recoil,"['newtons', 'newton']",volts,"Fact: In experiments measuring the force of a given elastic band recoil, the standard unit of choice is """
temperature,campfire,['kelvin'],joules,"Fact: The standard metric system unit for checking the temperature of a campfire is called the """
force,bungee cord,"['newtons', 'newton']",volts,"Fact: The official SI unit for the force of a moving bungee cord is named """
force,tug of war,"['newtons', 'newton']",volts,"Fact: When recording the typical force associated with a tug of war, researchers write it in the unit named """
force,hydraulic press,"['newtons', 'newton']",volts,"Fact: To properly quantify the baseline force belonging to a hydraulic press, scientists use the unit named """
energy,flywheel spin,"['joules', 'joule']",ohms,"Fact: A physicist would state that the unit representing the energy of a flywheel spin is """
energy,steam turbine,"['joules', 'joule']",ohms,"Fact: If a student needs to write down the energy of a steam turbine, they should use the unit named """
time,laser pulse,"['seconds', 'second']",meters,"Fact: To properly quantify the baseline time belonging to a laser pulse, scientists use the unit named """
mass,boulder,"['kilograms', 'kilogram', 'kg']",seconds,"Fact: In experiments measuring the mass of a given boulder, the standard unit of choice is """
mass,marble,"['kilograms', 'kilogram', 'kg']",seconds,"Fact: The standard metric system unit for checking the mass of a marble is called the """
temperature,forest fire,['kelvin'],joules,"Fact: A physicist would state that the unit representing the temperature of a forest fire is """
mass,dumbbell,"['kilograms', 'kilogram', 'kg']",seconds,"Fact: The textbook notes that the fundamental unit of measurement for a dumbbell's mass is named """
energy,exploding firework,"['joules', 'joule']",ohms,"Fact: In physics, when calculating the exact energy exhibited by a exploding firework, the result is expressed in the unit named """
mass,dumbbell,"['kilograms', 'kilogram', 'kg']",seconds,"Fact: A physicist would state that the unit representing the mass of a dumbbell is """
time,laser pulse,"['seconds', 'second']",meters,"Fact: The standard metric system unit for checking the time of a laser pulse is called the """
force,friction drag,"['newtons', 'newton']",volts,"Fact: The standard metric system unit for checking the force of a friction drag is called the """
temperature,cooking oven,['kelvin'],joules,"Fact: In experiments measuring the temperature of a given cooking oven, the standard unit of choice is """
energy,heat pump,"['joules', 'joule']",ohms,"Fact: In physics, when calculating the exact energy exhibited by a heat pump, the result is expressed in the unit named """
temperature,fusion reactor,['kelvin'],joules,"Fact: To properly quantify the baseline temperature belonging to a fusion reactor, scientists use the unit named """
energy,lightning bolt,"['joules', 'joule']",ohms,"Fact: The standard scientific unit used to measure the energy of a lightning bolt is named """
energy,food calorie,"['joules', 'joule']",ohms,"Fact: A physicist would state that the unit representing the energy of a food calorie is """
mass,brick,"['kilograms', 'kilogram', 'kg']",seconds,"Fact: In experiments measuring the mass of a given brick, the standard unit of choice is """
temperature,liquid helium,['kelvin'],joules,"Fact: The standard metric system unit for checking the temperature of a liquid helium is called the """
temperature,molten copper,['kelvin'],joules,"Fact: In experiments measuring the temperature of a given molten copper, the standard unit of choice is """
temperature,fusion reactor,['kelvin'],joules,"Fact: In experiments measuring the temperature of a given fusion reactor, the standard unit of choice is """
mass,boulder,"['kilograms', 'kilogram', 'kg']",seconds,"Fact: To properly quantify the baseline mass belonging to a boulder, scientists use the unit named """
force,gravity pull,"['newtons', 'newton']",volts,"Fact: The official SI unit for the force of a moving gravity pull is named """
energy,solar panel,"['joules', 'joule']",ohms,"Fact: To properly quantify the baseline energy belonging to a solar panel, scientists use the unit named """
mass,anchor,"['kilograms', 'kilogram', 'kg']",seconds,"Fact: In experiments measuring the mass of a given anchor, the standard unit of choice is """
energy,kinetic impact,"['joules', 'joule']",ohms,"Fact: When recording the typical energy associated with a kinetic impact, researchers write it in the unit named """
force,magnetic repulsion,"['newtons', 'newton']",volts,"Fact: The standard metric system unit for checking the force of a magnetic repulsion is called the """
energy,coal burning,"['joules', 'joule']",ohms,"Fact: In experiments measuring the energy of a given coal burning, the standard unit of choice is """
force,gravity pull,"['newtons', 'newton']",volts,"Fact: To properly quantify the baseline force belonging to a gravity pull, scientists use the unit named """
energy,chemical reaction,"['joules', 'joule']",ohms,"Fact: A physicist would state that the unit representing the energy of a chemical reaction is """
energy,chemical reaction,"['joules', 'joule']",ohms,"Fact: The official SI unit for the energy of a moving chemical reaction is named """
time,shutter speed,"['seconds', 'second']",meters,"Fact: The standard metric system unit for checking the time of a shutter speed is called the """
energy,battery,"['joules', 'joule']",ohms,"Fact: The standard metric system unit for checking the energy of a battery is called the """
energy,burning match,"['joules', 'joule']",ohms,"Fact: In experiments measuring the energy of a given burning match, the standard unit of choice is """
time,radioactive decay half-life,"['seconds', 'second']",meters,"Fact: In experiments measuring the time of a given radioactive decay half-life, the standard unit of choice is """
temperature,boiling water,['kelvin'],joules,"Fact: The standard scientific unit used to measure the temperature of a boiling water is named """
force,weightlifter push,"['newtons', 'newton']",volts,"Fact: If a student needs to write down the force of a weightlifter push, they should use the unit named """
time,hourglass run,"['seconds', 'second']",meters,"Fact: In experiments measuring the time of a given hourglass run, the standard unit of choice is """
mass,piano,"['kilograms', 'kilogram', 'kg']",seconds,"Fact: To properly quantify the baseline mass belonging to a piano, scientists use the unit named """
force,weightlifter push,"['newtons', 'newton']",volts,"Fact: In experiments measuring the force of a given weightlifter push, the standard unit of choice is """
mass,elephant,"['kilograms', 'kilogram', 'kg']",seconds,"Fact: In experiments measuring the mass of a given elephant, the standard unit of choice is """
temperature,frozen tundra,['kelvin'],joules,"Fact: The textbook notes that the fundamental unit of measurement for a frozen tundra's temperature is named """
energy,chemical reaction,"['joules', 'joule']",ohms,"Fact: In physics, when calculating the exact energy exhibited by a chemical reaction, the result is expressed in the unit named """
time,countdown,"['seconds', 'second']",meters,"Fact: The textbook notes that the fundamental unit of measurement for a countdown's time is named """
energy,solar panel,"['joules', 'joule']",ohms,"Fact: The textbook notes that the fundamental unit of measurement for a solar panel's energy is named """
temperature,forest fire,['kelvin'],joules,"Fact: When recording the typical temperature associated with a forest fire, researchers write it in the unit named """
energy,flywheel spin,"['joules', 'joule']",ohms,"Fact: The standard metric system unit for checking the energy of a flywheel spin is called the """
energy,gasoline combustion,"['joules', 'joule']",ohms,"Fact: The standard scientific unit used to measure the energy of a gasoline combustion is named """
mass,brick,"['kilograms', 'kilogram', 'kg']",seconds,"Fact: The standard scientific unit used to measure the mass of a brick is named """
force,friction drag,"['newtons', 'newton']",volts,"Fact: A physicist would state that the unit representing the force of a friction drag is """
temperature,desert noon,['kelvin'],joules,"Fact: A physicist would state that the unit representing the temperature of a desert noon is """
mass,shipping container,"['kilograms', 'kilogram', 'kg']",seconds,"Fact: When recording the typical mass associated with a shipping container, researchers write it in the unit named """
mass,marble,"['kilograms', 'kilogram', 'kg']",seconds,"Fact: When recording the typical mass associated with a marble, researchers write it in the unit named """
temperature,stars core,['kelvin'],joules,"Fact: A physicist would state that the unit representing the temperature of a stars core is """
mass,laptop,"['kilograms', 'kilogram', 'kg']",seconds,"Fact: In experiments measuring the mass of a given laptop, the standard unit of choice is """
mass,anchor,"['kilograms', 'kilogram', 'kg']",seconds,"Fact: If a student needs to write down the mass of a anchor, they should use the unit named """
mass,bag of cement,"['kilograms', 'kilogram', 'kg']",seconds,"Fact: A physicist would state that the unit representing the mass of a bag of cement is """
energy,exploding firework,"['joules', 'joule']",ohms,"Fact: The standard scientific unit used to measure the energy of a exploding firework is named """
energy,food calorie,"['joules', 'joule']",ohms,"Fact: When recording the typical energy associated with a food calorie, researchers write it in the unit named """
energy,wind turbine,"['joules', 'joule']",ohms,"Fact: In physics, when calculating the exact energy exhibited by a wind turbine, the result is expressed in the unit named """
time,match burn,"['seconds', 'second']",meters,"Fact: The standard metric system unit for checking the time of a match burn is called the """
energy,wind turbine,"['joules', 'joule']",ohms,"Fact: A physicist would state that the unit representing the energy of a wind turbine is """
energy,heat pump,"['joules', 'joule']",ohms,"Fact: The standard scientific unit used to measure the energy of a heat pump is named """
mass,anvil,"['kilograms', 'kilogram', 'kg']",seconds,"Fact: In experiments measuring the mass of a given anvil, the standard unit of choice is """
energy,photon emission,"['joules', 'joule']",ohms,"Fact: The standard metric system unit for checking the energy of a photon emission is called the """
time,sprinter split,"['seconds', 'second']",meters,"Fact: The standard metric system unit for checking the time of a sprinter split is called the """
mass,anchor,"['kilograms', 'kilogram', 'kg']",seconds,"Fact: In physics, when calculating the exact mass exhibited by a anchor, the result is expressed in the unit named """
mass,anvil,"['kilograms', 'kilogram', 'kg']",seconds,"Fact: The standard metric system unit for checking the mass of a anvil is called the """
temperature,deep space,['kelvin'],joules,"Fact: The official SI unit for the temperature of a moving deep space is named """
time,pendulum swing,"['seconds', 'second']",meters,"Fact: The textbook notes that the fundamental unit of measurement for a pendulum swing's time is named """
temperature,liquid nitrogen,['kelvin'],joules,"Fact: The textbook notes that the fundamental unit of measurement for a liquid nitrogen's temperature is named """
mass,aircraft carrier,"['kilograms', 'kilogram', 'kg']",seconds,"Fact: A physicist would state that the unit representing the mass of a aircraft carrier is """
force,elastic band recoil,"['newtons', 'newton']",volts,"Fact: The standard metric system unit for checking the force of a elastic band recoil is called the """
temperature,volcanic vent,['kelvin'],joules,"Fact: To properly quantify the baseline temperature belonging to a volcanic vent, scientists use the unit named """
temperature,deep space,['kelvin'],joules,"Fact: The standard scientific unit used to measure the temperature of a deep space is named """
energy,heat pump,"['joules', 'joule']",ohms,"Fact: To properly quantify the baseline energy belonging to a heat pump, scientists use the unit named """
mass,bowling ball,"['kilograms', 'kilogram', 'kg']",seconds,"Fact: The standard scientific unit used to measure the mass of a bowling ball is named """
temperature,comet tail,['kelvin'],joules,"Fact: In experiments measuring the temperature of a given comet tail, the standard unit of choice is """
force,car crash,"['newtons', 'newton']",volts,"Fact: The standard scientific unit used to measure the force of a car crash is named """
force,tug of war,"['newtons', 'newton']",volts,"Fact: The standard metric system unit for checking the force of a tug of war is called the """
temperature,stars core,['kelvin'],joules,"Fact: In experiments measuring the temperature of a given stars core, the standard unit of choice is """
time,match burn,"['seconds', 'second']",meters,"Fact: If a student needs to write down the time of a match burn, they should use the unit named """
force,friction drag,"['newtons', 'newton']",volts,"Fact: The official SI unit for the force of a moving friction drag is named """
time,camera exposure,"['seconds', 'second']",meters,"Fact: When recording the typical time associated with a camera exposure, researchers write it in the unit named """
temperature,boiling water,['kelvin'],joules,"Fact: A physicist would state that the unit representing the temperature of a boiling water is """
mass,suitcase,"['kilograms', 'kilogram', 'kg']",seconds,"Fact: When recording the typical mass associated with a suitcase, researchers write it in the unit named """
temperature,light bulb filament,['kelvin'],joules,"Fact: The standard scientific unit used to measure the temperature of a light bulb filament is named """
temperature,molten lava,['kelvin'],joules,"Fact: The standard metric system unit for checking the temperature of a molten lava is called the """
time,hourglass run,"['seconds', 'second']",meters,"Fact: A physicist would state that the unit representing the time of a hourglass run is """
force,hammer strike,"['newtons', 'newton']",volts,"Fact: The textbook notes that the fundamental unit of measurement for a hammer strike's force is named """
mass,dumbbell,"['kilograms', 'kilogram', 'kg']",seconds,"Fact: In physics, when calculating the exact mass exhibited by a dumbbell, the result is expressed in the unit named """
force,wind gust,"['newtons', 'newton']",volts,"Fact: In experiments measuring the force of a given wind gust, the standard unit of choice is """
time,processor cycle,"['seconds', 'second']",meters,"Fact: The standard metric system unit for checking the time of a processor cycle is called the """
energy,compressed spring,"['joules', 'joule']",ohms,"Fact: The standard metric system unit for checking the energy of a compressed spring is called the """
force,bungee cord,"['newtons', 'newton']",volts,"Fact: A physicist would state that the unit representing the force of a bungee cord is """
time,camera shutter,"['seconds', 'second']",meters,"Fact: The textbook notes that the fundamental unit of measurement for a camera shutter's time is named """
energy,chemical reaction,"['joules', 'joule']",ohms,"Fact: The standard metric system unit for checking the energy of a chemical reaction is called the """
temperature,deep space,['kelvin'],joules,"Fact: To properly quantify the baseline temperature belonging to a deep space, scientists use the unit named """
time,drum beat,"['seconds', 'second']",meters,"Fact: To properly quantify the baseline time belonging to a drum beat, scientists use the unit named """
force,rocket engine,"['newtons', 'newton']",volts,"Fact: The official SI unit for the force of a moving rocket engine is named """
energy,steam turbine,"['joules', 'joule']",ohms,"Fact: A physicist would state that the unit representing the energy of a steam turbine is """
temperature,forest fire,['kelvin'],joules,"Fact: The standard metric system unit for checking the temperature of a forest fire is called the """
mass,dumbbell,"['kilograms', 'kilogram', 'kg']",seconds,"Fact: The standard metric system unit for checking the mass of a dumbbell is called the """
force,tug of war,"['newtons', 'newton']",volts,"Fact: If a student needs to write down the force of a tug of war, they should use the unit named """
mass,piano,"['kilograms', 'kilogram', 'kg']",seconds,"Fact: When recording the typical mass associated with a piano, researchers write it in the unit named """
temperature,antarctic ice,['kelvin'],joules,"Fact: In experiments measuring the temperature of a given antarctic ice, the standard unit of choice is """
temperature,desert noon,['kelvin'],joules,"Fact: The standard scientific unit used to measure the temperature of a desert noon is named """
mass,gold bar,"['kilograms', 'kilogram', 'kg']",seconds,"Fact: The standard metric system unit for checking the mass of a gold bar is called the """
force,crane lift,"['newtons', 'newton']",volts,"Fact: In physics, when calculating the exact force exhibited by a crane lift, the result is expressed in the unit named """
force,weightlifter push,"['newtons', 'newton']",volts,"Fact: The official SI unit for the force of a moving weightlifter push is named """
temperature,cooking oven,['kelvin'],joules,"Fact: The official SI unit for the temperature of a moving cooking oven is named """
time,sound wave cycle,"['seconds', 'second']",meters,"Fact: The standard scientific unit used to measure the time of a sound wave cycle is named """
force,hydraulic press,"['newtons', 'newton']",volts,"Fact: The official SI unit for the force of a moving hydraulic press is named """
mass,truck,"['kilograms', 'kilogram', 'kg']",seconds,"Fact: The standard metric system unit for checking the mass of a truck is called the """
time,shutter speed,"['seconds', 'second']",meters,"Fact: The standard scientific unit used to measure the time of a shutter speed is named """
temperature,molten lava,['kelvin'],joules,"Fact: If a student needs to write down the temperature of a molten lava, they should use the unit named """
energy,lightning bolt,"['joules', 'joule']",ohms,"Fact: The official SI unit for the energy of a moving lightning bolt is named """
energy,wind turbine,"['joules', 'joule']",ohms,"Fact: To properly quantify the baseline energy belonging to a wind turbine, scientists use the unit named """
time,countdown,"['seconds', 'second']",meters,"Fact: In experiments measuring the time of a given countdown, the standard unit of choice is """
energy,steam turbine,"['joules', 'joule']",ohms,"Fact: The textbook notes that the fundamental unit of measurement for a steam turbine's energy is named """
temperature,molten lava,['kelvin'],joules,"Fact: In experiments measuring the temperature of a given molten lava, the standard unit of choice is """
time,lightning flash,"['seconds', 'second']",meters,"Fact: A physicist would state that the unit representing the time of a lightning flash is """
time,processor cycle,"['seconds', 'second']",meters,"Fact: In physics, when calculating the exact time exhibited by a processor cycle, the result is expressed in the unit named """
time,stopwatch,"['seconds', 'second']",meters,"Fact: In physics, when calculating the exact time exhibited by a stopwatch, the result is expressed in the unit named """
energy,photon emission,"['joules', 'joule']",ohms,"Fact: The standard scientific unit used to measure the energy of a photon emission is named """
mass,dumbbell,"['kilograms', 'kilogram', 'kg']",seconds,"Fact: To properly quantify the baseline mass belonging to a dumbbell, scientists use the unit named """
time,camera exposure,"['seconds', 'second']",meters,"Fact: The official SI unit for the time of a moving camera exposure is named """
force,wind gust,"['newtons', 'newton']",volts,"Fact: The official SI unit for the force of a moving wind gust is named """
temperature,forest fire,['kelvin'],joules,"Fact: In physics, when calculating the exact temperature exhibited by a forest fire, the result is expressed in the unit named """
mass,feather,"['kilograms', 'kilogram', 'kg']",seconds,"Fact: The standard metric system unit for checking the mass of a feather is called the """
energy,burning match,"['joules', 'joule']",ohms,"Fact: A physicist would state that the unit representing the energy of a burning match is """
force,crane lift,"['newtons', 'newton']",volts,"Fact: The textbook notes that the fundamental unit of measurement for a crane lift's force is named """
time,echo delay,"['seconds', 'second']",meters,"Fact: If a student needs to write down the time of a echo delay, they should use the unit named """
mass,backpack,"['kilograms', 'kilogram', 'kg']",seconds,"Fact: If a student needs to write down the mass of a backpack, they should use the unit named """
mass,laptop,"['kilograms', 'kilogram', 'kg']",seconds,"Fact: A physicist would state that the unit representing the mass of a laptop is """
force,bungee cord,"['newtons', 'newton']",volts,"Fact: If a student needs to write down the force of a bungee cord, they should use the unit named """
temperature,desert noon,['kelvin'],joules,"Fact: To properly quantify the baseline temperature belonging to a desert noon, scientists use the unit named """
mass,gold bar,"['kilograms', 'kilogram', 'kg']",seconds,"Fact: The official SI unit for the mass of a moving gold bar is named """
temperature,frozen tundra,['kelvin'],joules,"Fact: The standard metric system unit for checking the temperature of a frozen tundra is called the """
temperature,campfire,['kelvin'],joules,"Fact: If a student needs to write down the temperature of a campfire, they should use the unit named """
energy,nuclear fission,"['joules', 'joule']",ohms,"Fact: In experiments measuring the energy of a given nuclear fission, the standard unit of choice is """
time,sprinter split,"['seconds', 'second']",meters,"Fact: In experiments measuring the time of a given sprinter split, the standard unit of choice is """
energy,burning match,"['joules', 'joule']",ohms,"Fact: The standard metric system unit for checking the energy of a burning match is called the """
energy,nuclear fission,"['joules', 'joule']",ohms,"Fact: The standard metric system unit for checking the energy of a nuclear fission is called the """
time,laser pulse,"['seconds', 'second']",meters,"Fact: The standard scientific unit used to measure the time of a laser pulse is named """
mass,paperclip,"['kilograms', 'kilogram', 'kg']",seconds,"Fact: In physics, when calculating the exact mass exhibited by a paperclip, the result is expressed in the unit named """
energy,heat pump,"['joules', 'joule']",ohms,"Fact: A physicist would state that the unit representing the energy of a heat pump is """
energy,nuclear fission,"['joules', 'joule']",ohms,"Fact: When recording the typical energy associated with a nuclear fission, researchers write it in the unit named """
time,laser pulse,"['seconds', 'second']",meters,"Fact: The official SI unit for the time of a moving laser pulse is named """
time,pendulum swing,"['seconds', 'second']",meters,"Fact: The standard scientific unit used to measure the time of a pendulum swing is named """
force,wind gust,"['newtons', 'newton']",volts,"Fact: If a student needs to write down the force of a wind gust, they should use the unit named """
mass,laptop,"['kilograms', 'kilogram', 'kg']",seconds,"Fact: The standard metric system unit for checking the mass of a laptop is called the """
mass,paperclip,"['kilograms', 'kilogram', 'kg']",seconds,"Fact: When recording the typical mass associated with a paperclip, researchers write it in the unit named """
temperature,cooking oven,['kelvin'],joules,"Fact: A physicist would state that the unit representing the temperature of a cooking oven is """
force,weightlifter push,"['newtons', 'newton']",volts,"Fact: The textbook notes that the fundamental unit of measurement for a weightlifter push's force is named """
energy,food calorie,"['joules', 'joule']",ohms,"Fact: To properly quantify the baseline energy belonging to a food calorie, scientists use the unit named """
mass,piano,"['kilograms', 'kilogram', 'kg']",seconds,"Fact: If a student needs to write down the mass of a piano, they should use the unit named """
force,engine thrust,"['newtons', 'newton']",volts,"Fact: If a student needs to write down the force of a engine thrust, they should use the unit named """
energy,kinetic impact,"['joules', 'joule']",ohms,"Fact: The textbook notes that the fundamental unit of measurement for a kinetic impact's energy is named """
temperature,fusion reactor,['kelvin'],joules,"Fact: When recording the typical temperature associated with a fusion reactor, researchers write it in the unit named """
time,stopwatch,"['seconds', 'second']",meters,"Fact: In experiments measuring the time of a given stopwatch, the standard unit of choice is """
time,blink of an eye,"['seconds', 'second']",meters,"Fact: When recording the typical time associated with a blink of an eye, researchers write it in the unit named """
energy,kinetic impact,"['joules', 'joule']",ohms,"Fact: In experiments measuring the energy of a given kinetic impact, the standard unit of choice is """
force,gravity pull,"['newtons', 'newton']",volts,"Fact: In experiments measuring the force of a given gravity pull, the standard unit of choice is """
energy,heat pump,"['joules', 'joule']",ohms,"Fact: If a student needs to write down the energy of a heat pump, they should use the unit named """
energy,heat pump,"['joules', 'joule']",ohms,"Fact: The standard metric system unit for checking the energy of a heat pump is called the """
time,sound wave cycle,"['seconds', 'second']",meters,"Fact: When recording the typical time associated with a sound wave cycle, researchers write it in the unit named """
energy,solar panel,"['joules', 'joule']",ohms,"Fact: The official SI unit for the energy of a moving solar panel is named """
force,spring stretch,"['newtons', 'newton']",volts,"Fact: A physicist would state that the unit representing the force of a spring stretch is """
time,camera shutter,"['seconds', 'second']",meters,"Fact: When recording the typical time associated with a camera shutter, researchers write it in the unit named """
temperature,liquid nitrogen,['kelvin'],joules,"Fact: In physics, when calculating the exact temperature exhibited by a liquid nitrogen, the result is expressed in the unit named """
temperature,liquid helium,['kelvin'],joules,"Fact: To properly quantify the baseline temperature belonging to a liquid helium, scientists use the unit named """
time,stopwatch,"['seconds', 'second']",meters,"Fact: The textbook notes that the fundamental unit of measurement for a stopwatch's time is named """
force,bow string tension,"['newtons', 'newton']",volts,"Fact: If a student needs to write down the force of a bow string tension, they should use the unit named """
temperature,frozen tundra,['kelvin'],joules,"Fact: The standard scientific unit used to measure the temperature of a frozen tundra is named """
time,lightning flash,"['seconds', 'second']",meters,"Fact: In physics, when calculating the exact time exhibited by a lightning flash, the result is expressed in the unit named """
time,match burn,"['seconds', 'second']",meters,"Fact: In physics, when calculating the exact time exhibited by a match burn, the result is expressed in the unit named """
temperature,antarctic ice,['kelvin'],joules,"Fact: In physics, when calculating the exact temperature exhibited by a antarctic ice, the result is expressed in the unit named """
energy,lightning bolt,"['joules', 'joule']",ohms,"Fact: When recording the typical energy associated with a lightning bolt, researchers write it in the unit named """
temperature,comet tail,['kelvin'],joules,"Fact: The standard metric system unit for checking the temperature of a comet tail is called the """
mass,suitcase,"['kilograms', 'kilogram', 'kg']",seconds,"Fact: A physicist would state that the unit representing the mass of a suitcase is """
mass,bowling ball,"['kilograms', 'kilogram', 'kg']",seconds,"Fact: In physics, when calculating the exact mass exhibited by a bowling ball, the result is expressed in the unit named """
temperature,molten copper,['kelvin'],joules,"Fact: The textbook notes that the fundamental unit of measurement for a molten copper's temperature is named """
mass,laptop,"['kilograms', 'kilogram', 'kg']",seconds,"Fact: The official SI unit for the mass of a moving laptop is named """
force,hydraulic press,"['newtons', 'newton']",volts,"Fact: When recording the typical force associated with a hydraulic press, researchers write it in the unit named """
mass,shipping container,"['kilograms', 'kilogram', 'kg']",seconds,"Fact: The official SI unit for the mass of a moving shipping container is named """
energy,falling water,"['joules', 'joule']",ohms,"Fact: When recording the typical energy associated with a falling water, researchers write it in the unit named """
energy,kinetic impact,"['joules', 'joule']",ohms,"Fact: The standard scientific unit used to measure the energy of a kinetic impact is named """
force,magnets pull,"['newtons', 'newton']",volts,"Fact: If a student needs to write down the force of a magnets pull, they should use the unit named """
force,earthquake tremor,"['newtons', 'newton']",volts,"Fact: When recording the typical force associated with a earthquake tremor, researchers write it in the unit named """
mass,suitcase,"['kilograms', 'kilogram', 'kg']",seconds,"Fact: In experiments measuring the mass of a given suitcase, the standard unit of choice is """
time,blink of an eye,"['seconds', 'second']",meters,"Fact: In experiments measuring the time of a given blink of an eye, the standard unit of choice is """
energy,steam turbine,"['joules', 'joule']",ohms,"Fact: In physics, when calculating the exact energy exhibited by a steam turbine, the result is expressed in the unit named """
energy,battery,"['joules', 'joule']",ohms,"Fact: The official SI unit for the energy of a moving battery is named """
mass,anchor,"['kilograms', 'kilogram', 'kg']",seconds,"Fact: The official SI unit for the mass of a moving anchor is named """
time,match burn,"['seconds', 'second']",meters,"Fact: To properly quantify the baseline time belonging to a match burn, scientists use the unit named """
mass,backpack,"['kilograms', 'kilogram', 'kg']",seconds,"Fact: When recording the typical mass associated with a backpack, researchers write it in the unit named """
force,gravity pull,"['newtons', 'newton']",volts,"Fact: In physics, when calculating the exact force exhibited by a gravity pull, the result is expressed in the unit named """
force,spring stretch,"['newtons', 'newton']",volts,"Fact: To properly quantify the baseline force belonging to a spring stretch, scientists use the unit named """
time,drum beat,"['seconds', 'second']",meters,"Fact: The textbook notes that the fundamental unit of measurement for a drum beat's time is named """
mass,anvil,"['kilograms', 'kilogram', 'kg']",seconds,"Fact: The standard scientific unit used to measure the mass of a anvil is named """
mass,aircraft carrier,"['kilograms', 'kilogram', 'kg']",seconds,"Fact: To properly quantify the baseline mass belonging to a aircraft carrier, scientists use the unit named """
force,water jet,"['newtons', 'newton']",volts,"Fact: When recording the typical force associated with a water jet, researchers write it in the unit named """
mass,boulder,"['kilograms', 'kilogram', 'kg']",seconds,"Fact: In physics, when calculating the exact mass exhibited by a boulder, the result is expressed in the unit named """
force,magnetic repulsion,"['newtons', 'newton']",volts,"Fact: The official SI unit for the force of a moving magnetic repulsion is named """
energy,nuclear fission,"['joules', 'joule']",ohms,"Fact: The textbook notes that the fundamental unit of measurement for a nuclear fission's energy is named """
force,spring stretch,"['newtons', 'newton']",volts,"Fact: If a student needs to write down the force of a spring stretch, they should use the unit named """
force,crane lift,"['newtons', 'newton']",volts,"Fact: In experiments measuring the force of a given crane lift, the standard unit of choice is """
energy,photon emission,"['joules', 'joule']",ohms,"Fact: If a student needs to write down the energy of a photon emission, they should use the unit named """
temperature,frozen tundra,['kelvin'],joules,"Fact: In experiments measuring the temperature of a given frozen tundra, the standard unit of choice is """
temperature,light bulb filament,['kelvin'],joules,"Fact: The textbook notes that the fundamental unit of measurement for a light bulb filament's temperature is named """
force,car crash,"['newtons', 'newton']",volts,"Fact: The textbook notes that the fundamental unit of measurement for a car crash's force is named """
energy,wind turbine,"['joules', 'joule']",ohms,"Fact: The textbook notes that the fundamental unit of measurement for a wind turbine's energy is named """
